Price,Close,High,Low,Open,Volume
6/5/2020,80.56021881,80.62097312,78.55046881,78.5796297,137250400
6/8/2020,81.03653717,81.07056315,79.54441498,80.25645381,95654400
6/9/2020,83.59550476,83.98919153,80.68416274,80.71575617,147712400
6/10/2020,85.74622345,86.21524506,84.10585667,84.54571739,166651600
6/11/2020,81.62950134,85.31364413,81.52743824,84.8883639,201662400
6/12/2020,82.3342514,84.52140692,81.22123553,83.77291696,200146000
6/15/2020,83.35250092,84.00621804,80.82268995,80.9855148,138808800
6/16/2020,85.56153107,85.83371668,83.77292723,85.41086152,165428800
6/17/2020,85.44245148,86.3683468,85.32094283,86.30759247,114406400
6/18/2020,85.47645569,85.89444563,84.86648005,85.39868839,96820400
6/19/2020,84.98799133,86.6502284,83.87740074,86.18363944,264476000
6/22/2020,87.21160126,87.35498055,85.33550775,85.38168162,135445200
6/23/2020,89.07311249,90.49476489,88.03785663,88.45827914,212155600
6/24/2020,87.50079346,89.62233679,87.1265448,88.70129931,192623200
6/25/2020,88.66241455,88.7012982,86.89568177,87.65632697,137522400
6/26/2020,85.93820953,88.77908238,85.78996512,88.55793575,205256800
6/29/2020,87.91877747,88.01355775,85.36709643,85.84584069,130646000
6/30/2020,88.6526947,88.93946071,87.4862148,87.50565292,140223200
7/1/2020,88.4850235,89.27482971,88.43642449,88.73047334,110737200
7/2/2020,88.4850235,90.03061735,88.37081249,89.39391322,114041600
7/6/2020,90.85201263,91.32103421,89.88480118,89.91639461,118655600
7/7/2020,90.57010651,92.01119713,90.45832064,91.23111377,112424400
7/8/2020,92.67949677,92.7110902,91.46197785,91.54946792,117092000
7/9/2020,93.07805634,93.62727038,92.02821984,93.57380628,125642800
7/10/2020,93.24085999,93.29918917,92.05979967,92.67220049,90257200
7/13/2020,92.81072998,97.16317034,92.59687359,94.54830204,191649200
7/14/2020,94.34659576,94.53857406,91.25541585,92.19102639,170989200
7/15/2020,94.99544525,96.47541947,93.7949394,96.22511199,153198000
7/16/2020,93.82655334,94.68440416,93.22630029,93.865437,110577600
7/17/2020,93.63696289,94.43405906,93.16307635,94.2785319,92186800
7/20/2020,95.61027527,95.74879688,93.37937868,93.72446644,90318000
7/21/2020,94.29071808,96.47787391,94.04041054,96.40253914,103433200
7/22/2020,94.5555954,95.23847338,93.90431085,93.99179351,89001600
7/23/2020,90.25174713,94.36602738,89.44007041,94.28826008,197004400
7/24/2020,90.02817535,90.37326314,86.65509448,88.44613798,185438800
7/27/2020,92.16188049,92.25422826,90.86903407,91.09260583,121214000
7/28/2020,90.64787292,91.90913313,90.64300783,91.73172786,103625600
